Matrix strength (MPa),Fiber contents (vol.%),Fiber length (mm),Fiber diameter (mm),Fiber index (%),Width of specimen (mm),Depth of specimen (mm),Span length (mm),Concrete age (day),Flexural strength (MPa),References,,List of references for this database,,,
155.55,4,13,0.16,325,25,60,180,28,22.18,,,,,,
155.55,4,13,0.16,325,25,60,180,28,33.94,,,,,,
155.55,4,13,0.16,325,25,60,180,28,28.13,,,,,,
155.55,4,13,0.16,325,25,60,180,28,34.41,,,,,,
155.55,4,13,0.16,325,25,60,180,90,32.81,,,,,,
155.55,4,13,0.16,325,25,60,180,90,36.92,,,,,,
155.55,4,13,0.16,325,25,60,180,90,32.47,,,,,,
155.55,4,13,0.16,325,25,60,180,90,41.01,,,,,,
155.55,4,13,0.16,325,25,60,180,90,42.12,,,,,,
155.55,4,13,0.16,325,25,60,180,165,35.93,,,,,,
155.55,4,13,0.16,325,25,60,180,165,40.95,,,,,,
155.55,4,13,0.16,325,25,60,180,165,32.64,,,,,,
155.55,4,13,0.16,325,25,60,180,165,50.616,,,,,,
155.55,4,13,0.16,325,25,60,180,165,38.64,,,,,,
155.55,4,13,0.16,325,25,60,180,45,37.71,,,,,,
155.55,4,13,0.16,325,25,60,180,45,26.94,,,,,,
155.55,4,13,0.16,325,25,60,180,45,39.34,,,,,,
155.55,4,13,0.16,325,25,60,180,45,37.44,,,,,,
155.55,4,13,0.16,325,25,60,180,45,39.78,,,,,,
155.55,4,13,0.16,325,25,60,180,48,44.29,,,,,,
155.55,4,13,0.16,325,25,60,180,48,25.1,,,,,,
155.55,4,13,0.16,325,25,60,180,48,42.05,,,,,,
155.55,4,13,0.16,325,25,60,180,48,41.12,,,,,,
155.55,4,13,0.16,325,25,60,180,48,44.61,,,,,,
